Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes	LeftRewardTypeIds	LeftRewardMinNums	LeftRewardMaxNums	RightDesc	RightRewardTypes	RightRewardTypeIds	RightRewardMinNums	RightRewardMaxNums	ChooseLine	LineNum	NeedBuffs	Bg	IsOutNormalPool
1521	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					46	2			True
1522	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	假意展示自己的虔诚					似乎冲突在所难免					46	3			True
1530	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					47	1			True
1531	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					47	2			True
1532	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	离开祷告室					继续聆听“乐声”					47	3			True
1533	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					47	4			True
1534	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					47	5			True
1535	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	谨慎远离					触碰水面					47	6			True
1600	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					48	1			True
1601	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					48	2			True
1602	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					48	3			True
1603	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	或许只是自己的幻觉	[4]	{1: 10001}	[1]		举起提灯仔细观察	[4]	{1: 10002}	[1]		48	4			True
1604	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					49	1	[10001]		True
1605	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					49	2			True
1606	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					49	3			True
1607	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	摇头拒绝耳畔的声音					被那个声音无意识地吸引					49	4			True
1608	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					50	1	[10002]		True
1609	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					50	2			True
1610	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					50	3			True
1611	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	驱散脑中的怪念头					被脑中的念头无意识牵绊					50	4			True
1612	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					68	1			True
1613	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					68	2			True
1614	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	或许只是自己的错觉					上前仔细查看坟土					68	3			True
1620	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					51	1			True
1621	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					51	2			True
1622	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	躲避诡影的追击					直面突发的异状					51	3			True
1630	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					52	1			True
1631	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					52	2			True
1632	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	跟上怪异的脚印					蹲下仔细查看脚印					52	3			True
1633	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					52	4			True
1634	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					52	5			True
1635	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	远离古怪的长窗					试图解读线条的规律					52	6			True
1700	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					53	1			True
1701	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					53	2			True
1702	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	将身体贴近田野感受					试图掘开泥土查看					53	3			True
1703	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					53	4			True
1704	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					53	5			True
1705	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	轻轻用泥土将其掩埋					伸手触碰指骨					53	6			True
1710	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					54	1			True
1711	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					54	2			True
1712	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	本能地躲避这些“怪物”					无惧眼前的怪影					54	3			True
1720	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					55	1			True
1721	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					55	2			True
1722	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					55	3			True
1723	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	上前查看	[4]	{1: 10001}	[1]		触碰人偶	[4]	{1: 10002}	[1]		55	4			True
1724	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					56	1	[10001]		True
1725	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					56	2			True
1726	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					56	3			True
1727	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	查看伤口					并不在意					56	4			True
1728	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					57	1	[10002]		True
1729	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					57	2			True
1730	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					57	3			True
1731	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	查看伤口					并不在意					57	4			True
1732	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					58	1			True
1733	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					58	2			True
1734	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	离开厅堂					砸碎人偶					58	3			True
1740	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					59	1			True
1741	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					59	2			True
1742	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	不再回望					继续前行					59	3			True
1800	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					60	1			True
1801	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					60	2			True
1802	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					60	3			True
1803	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续前行	[4]	{1: 10001}	[1]		走到回廊尽头	[4]	{1: 10002}	[1]		60	4			True
1804	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					61	1	[10001]		True
1805	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					61	2			True
1806	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	静静看着她们					关上房门离去					61	3			True
1807	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					62	1	[10002]		True
1808	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					62	2			True
1809	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	静静看着她们					关上房门离去					62	3			True
1810	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					63	1			True
1811	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					63	2			True
1812	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	回以微笑					加入她们					63	3			True
1820	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					64	1			True
1821	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					64	2			True
1822	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	直面危机					不再恐惧					64	3			True
1830	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					65	1			True
1831	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					65	2			True
1832	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	仔细观察					推门进入					65	3			True
1833	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					66	1			True
1834	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					66	2			True
1835	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	吹熄蜡烛					静静凝视火苗					66	3			True
1840	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					67	1			True
1841	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					67	2			True
1842	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	躲避怪影的靠近					握紧手枪					67	3			True
5001	placeholder_雾中，那名变异的水手眼泛红光，拔出了骨质的匕首。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_拔枪迎战	[7]	{1: 2000}	[1]		placeholder_躲进垃圾桶	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 30, 14]	{1: -5, 2: 37, 3: 17}					
5002	placeholder_根据日记的线索，你找到了一处地下室，一群信徒正围绕螺旋祭坛咏唱。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_潜入祭坛	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 26, 18]	{1: -10, 2: 31, 3: 23}	placeholder_踢开大门	[7]	{1: 2000}	[1]						
5003	墓园的守卫坐在门口，对每一个路过的行人露出诡异的微笑。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	2	微笑致意	[5]	{1: 2001}	[1]	{1: 1}	出言询问	[5]	{1: 2003}	[1]	{1: 1}					
5004	废弃码头的集装箱表面，开始慢慢被黏滑而带有腥味的海草所覆盖。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	2	撬开箱子	[5]	{1: 2001}	[1]	{1: 1}	扯下海草	[5]	{1: 2003}	[1]	{1: 1}					
5005	疯人院的院长在临终前，颤抖着将一枚刻着眼球图案的徽章塞进你掌心。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	2	仔细观察徽章	[5]	{1: 2002}	[1]	{1: 1}	收下徽章	[5]	{1: 2004}	[1]	{1: 1}					
5006	手中的怀表发出古怪的噪音，在拆开后，你发现齿轮之间缠满了乌黑的发丝。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	2	合上怀表	[5]	{1: 2001}	[1]	{1: 1}	清理发丝	[5]	{1: 2003}	[1]	{1: 1}					
5007	在旧书铺里，你发现了一本被铁链锁住的无名手稿。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	2	买下这本手稿	[5]	{1: 2001}	[1]	{1: 1}	试图撬开铁链	[5]	{1: 2003}	[1]	{1: 1}					
5008	衣衫褴褛的流浪汉向你走来，试图用他手中的古怪药瓶向你换取一点果腹的食物。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	2	同意交换	[5]	{1: 2002}	[1]	{1: 1}	询问他药瓶里是什么	[5]	{1: 2004}	[1]	{1: 1}					
5009	placeholder_街边煤气灯闪烁幽绿光芒，灯柱上缠绕着带血的绷带。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_拆下绷带	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 24, 20]	{2: 29, 3: 25}	placeholder_转身逃跑	[2, 1, 1]	{1: 1, 2: 3, 3: 1}	[-10, 17, 27]	{1: -5, 2: 20, 3: 34}					True
5010	placeholder_杂货店橱窗里的洋娃娃，眼珠不知何时齐刷刷转向了你。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_连连后退	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 27, 18]	{1: -5, 2: 33, 3: 22}	placeholder_砸碎橱窗	[2, 1, 1]	{1: 1, 2: 3, 3: 2}	[-15, 13, 31]	{1: -10, 2: 16, 3: 38}					True
5011	placeholder_旅馆隔壁房间传来规律的指甲刮擦声，似乎在传递摩斯密码。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_仔细破译	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 27, 18]	{1: -5, 2: 33, 3: 22}	placeholder_捂住双耳	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 25, 19]	{1: -5, 2: 30, 3: 24}					True
5012	placeholder_盲眼琴师在广场拉小提琴，琴弦是用某种坚韧的血管做的。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_赶忙离开	[2, 1]	{1: 1, 2: 2}	[-10, 23]	{1: -5, 2: 28}	placeholder_观察小提琴	[2, 1, 1]	{1: 1, 2: 4, 3: 1}	[-15, 29, 15]	{1: -10, 2: 36, 3: 18}					True
5013	placeholder_屠夫摊位上挂着半扇不知名生物的肋骨，骨头上刻满符文。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_抚摸符文	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 17, 27]	{1: -5, 2: 20, 3: 34}	placeholder_不感兴趣	[2, 1, 1]	{1: 1, 2: 4, 3: 2}	[-10, 18, 26]	{1: -5, 2: 23, 3: 31}					True
5014	placeholder_马车车轮碾过一团烂肉，肉块的排列像是指向某个坐标。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_观察烂肉	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 27, 17]	{1: -5, 2: 34, 3: 20}	placeholder_记录坐标	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 27, 17]	{1: -10, 2: 34, 3: 20}					True
5015	placeholder_贵族晚宴的红酒散发着铁锈味，杯底沉淀着细碎的鳞片。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_盯着鳞片	[2, 1]	{1: 1, 2: 2}	[-10, 29]	{1: -5, 2: 36}	placeholder_饮下红酒	[2, 1, 1]	{1: 1, 2: 4, 3: 1}	[-10, 20, 24]	{1: -5, 2: 25, 3: 29}					True
5016	placeholder_孤儿院的围墙上，孩子们用煤炭画满了一只只巨大的眼睛。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_凝视眼睛	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 14, 30]	{1: -10, 2: 17, 3: 37}	placeholder_刮取煤炭粉末	[2, 1, 1]	{1: 1, 2: 4, 3: 2}	[-10, 18, 26]	{1: -5, 2: 23, 3: 31}					True
5017	placeholder_下水道深处传来机械轰鸣，一只装有齿轮的巨鼠扑了过来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_连忙闪躲	[2, 1]	{1: 1, 2: 2}	[-15, 24]	{1: -10, 2: 29}	placeholder_徒手解剖巨鼠	[2, 1, 1]	{1: 1, 2: 4, 3: 3}	[-10, 20, 24]	{1: -5, 2: 25, 3: 29}					True
5018	placeholder_你在自己的风衣口袋里，摸到了一枚长着倒刺的滑腻鱼鳞。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_将鱼鳞甩飞	[2, 1]	{1: 1, 2: 3}	[-10, 17]	{1: -5, 2: 20}	placeholder_用放大镜观察	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 23, 21]	{1: -10, 2: 28, 3: 26}					True
5019	placeholder_钟表匠的店铺里，所有的时钟都在倒着走，指针滴答作响。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_拆开怀表	[2, 1, 1]	{1: 1, 2: 3, 3: 2}	[-10, 18, 27]	{1: -5, 2: 22, 3: 33}	placeholder_捂住耳朵	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[20, 26, 18]	{1: 40, 2: 31, 3: 23}					True
5020	placeholder_药剂师向你推销一种能“看见真实”的绿色眼药水。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_ 连忙走开	[2, 1, 1]	{1: 1, 2: 4, 3: 3}	[-10, 15, 29]	{1: -5, 2: 18, 3: 36}	placeholder_滴入眼中	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 19, 25]	{1: -10, 2: 24, 3: 30}					True
5021	placeholder_废弃教堂的十字架倒悬着，上面钉着一只死去的黑猫。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_观察尸体	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 15, 29]	{1: -5, 2: 18, 3: 36}	placeholder_ 寻找牧师	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 31, 13]	{1: 40, 2: 38, 3: 16}					True
5022	placeholder_她翻开那张牌，牌面竟然是你自己被无数暗影手臂拖入深渊的画面。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_询问深渊方位	[2, 1]	{1: 1, 2: 3}	[-10, 30]	{1: -5, 2: 37}	placeholder_撕毁骨牌	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 25, 19]	{1: -10, 2: 30, 3: 24}					True
5023	placeholder_疯人院院长深夜总会推着装满病人的推车，走向禁止入内的地下室。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_记录频率	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 19, 25]	{1: -10, 2: 24, 3: 30}	placeholder_申请搜查	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 18, 27]	{1: -5, 2: 22, 3: 33}					True
5024	placeholder_被你没收的金币在口袋里渗出黑血，引得周围的老鼠疯狂朝你汇聚。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_收集血液	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 23, 21]	{1: -5, 2: 28, 3: 26}	placeholder_撒上石灰	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 23, 21]	{1: -10, 2: 28, 3: 26}					True
5025	placeholder_变异守夜人察觉到了你，他转过那张布满触手的脸，发疯般朝你扑了过来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_拔出手枪迎战	[7]	{1: 2010}	[1]		placeholder_转身逃跑	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 30, 14]	{1: -5, 2: 37, 3: 17}					
5026	placeholder_一条粗壮的肉质触手击碎了车窗玻璃，试图将你拖入外面的血肉深渊。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_躲在座位下收集黏液	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 26, 18]	{1: -10, 2: 31, 3: 23}	placeholder_切割触手	[7]	{1: 2010}	[1]						
5027	废弃已久的剧院阁楼中，墙面上镶嵌了众多布满裂痕的镜子。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	3	查看镜子	[5]	{1: 2005}	[1]	{1: 1}	打碎镜子查看后面有什么	[5]	{1: 2007}	[1]	{1: 1}					
5028	你行过夜幕里的街头，却忽然发现街道两侧的橱窗里，亮起了无数双古怪的眼睛。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	3	打碎橱窗	[5]	{1: 2005}	[1]	{1: 1}	上前查看	[5]	{1: 2007}	[1]	{1: 1}					
5029	在没有出口的死胡同里，一个影影绰绰的黑影堵住了你的去路。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	3	正面应对	[5]	{1: 2006}	[1]	{1: 1}	试图绕开	[5]	{1: 2008}	[1]	{1: 1}					
5030	拍卖会结束后，一尊古怪的灰色石雕被流拍了。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	3	查看石雕	[5]	{1: 2005}	[1]	{1: 1}	表示要买下石雕	[5]	{1: 2007}	[1]	{1: 1}					
5031	档案室的地板夹缝里，藏着一枚形状扭曲的生锈钥匙。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	3	取出钥匙	[5]	{1: 2005}	[1]	{1: 1}	试图把钥匙恢复原状	[5]	{1: 2007}	[1]	{1: 1}					
5032	浓雾弥漫的河岸边，河水中开始闪烁着古怪的磷光。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	3	试图捕捞	[5]	{1: 2006}	[1]	{1: 1}	举起提灯查看	[5]	{1: 2008}	[1]	{1: 1}					
5049	placeholder_玻璃展柜骤然碎裂，一具缠满绷带的干尸张开长满獠牙的大嘴，直直朝你的咽喉扑咬过来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_将火把塞入干尸嘴里	[7]	{1: 2020}	[1]		placeholder_记录干尸状况	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[20, 30, 14]	{1: 40, 2: 37, 3: 17}					
5050	placeholder_这只可怕的怪物突然跃下舞台，冲入观众席开始了一场血腥的屠杀。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_趁乱溜走	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 26, 18]	{1: -10, 2: 31, 3: 23}	placeholder_掩护撤退	[7]	{1: 2020}	[1]						
5051	警局的证物袋里，出现了一件之前从未有过的“证物”，那是一块怪异的封蜡。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	4	仔细观察	[5]	{1: 2009}	[1]	{1: 1}	尝试敲碎封蜡	[5]	{1: 2011}	[1]	{1: 1}					
5052	荒废庄园的壁炉深处，灰烬中残留着一张未被火焰完全烧毁的旧照片。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	4	捡起照片	[5]	{1: 2009}	[1]	{1: 1}	扫除灰烬	[5]	{1: 2011}	[1]	{1: 1}					
5053	珠宝店里，一枚雕刻成蜘蛛形状的胸针无人问津。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	4	检查胸针	[5]	{1: 2010}	[1]	{1: 1}	表示想买下这枚胸针	[5]	{1: 2012}	[1]	{1: 1}					
5054	在看到你走近时，原本兜售古怪药剂的黑市商人裹紧斗篷离去，却留下了一瓶药水。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	4	捡起药瓶	[5]	{1: 2009}	[1]	{1: 1}	试图开口唤住对方	[5]	{1: 2011}	[1]	{1: 1}					
5055	孤儿院的孩子向你递过来一只玩偶，但玩偶的眼睛却已经被破坏。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	4	接过玩偶	[5]	{1: 2009}	[1]	{1: 1}	认真查看玩偶的眼睛	[5]	{1: 2011}	[1]	{1: 1}					
5056	博物馆无人问津的展柜里，放着一块刻满古怪文字的黏土板。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	4	仔细检查	[5]	{1: 2010}	[1]	{1: 1}	借走研究	[5]	{1: 2012}	[1]	{1: 1}					
